GEOid,GEOid2,msa_name,HC01_EST_VC01,HC01_EST_VC10,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC28,HC01_EST_VC48,HC01_EST_VC78,latitude,longitude,peerGroup
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",127747,546700,2.8,13.1,0.9,113888,2351,4169,34.1975048,-119.1770516,g
310M200US12940,12940,"Baton Rouge, LA Metro Area",123678,190100,2.2,8.2,0.2,86715,1310,1101,30.4582829,-91.1403196,g
310M200US17820,17820,"Colorado Springs, CO Metro Area",120943,238200,5.5,9.3,0.3,84943,1454,1212,38.8338816,-104.8213634,g
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",120703,221300,4.1,8.1,0.3,77699,1425,1241,32.7764749,-79.9310512,g
310M200US14260,14260,"Boise City, ID Metro Area",120316,197100,3.9,12,0.9,71082,1217,1472,43.6187102,-116.2146068,g
310M200US10420,10420,"Akron, OH Metro Area",119495,150200,2.6,15.4,0.1,78434,1231,2531,41.0814447,-81.5190053,h
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",119101,154700,3.1,12.2,0.4,71131,1149,1553,36.0726354,-79.7919754,h
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",117254,174100,3.1,10.3,0.3,86874,1335,3181,41.6005448,-93.6091064,h
310M200US31540,31540,"Madison, WI Metro Area",113289,232600,3.6,16.9,0.5,95413,1639,4536,43.0730517,-89.4012302,h
310M200US46520,46520,"Urban Honolulu, HI Metro Area",112055,629600,3.2,19.7,0.8,113335,2420,1720,21.3069444,-157.8583333,h
310M200US23420,23420,"Fresno, CA Metro Area",112019,226100,3.3,6.9,0.9,74335,1455,1946,36.7468422,-119.7725868,h
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",111357,157400,2.2,5.6,0.1,74872,1168,1176,34.7464809,-92.2895948,h
310M200US45060,45060,"Syracuse, NY Metro Area",109064,135400,1.6,16,0.3,80785,1276,3878,43.0481221,-76.1474244,h
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",107761,227400,1.9,12.2,0.5,76389,1401,1969,27.044224,-82.2359254,h
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",107383,219500,5.5,9.7,0.7,81910,1376,1555,41.223,-111.9738304,h
310M200US12540,12540,"Bakersfield, CA Metro Area",105985,207800,3.4,5.9,0.2,76713,1403,2100,35.3732921,-119.0187125,i
310M200US49180,49180,"Winston-Salem, NC Metro Area",105022,152200,2,14.1,0.6,69114,1103,1310,36.1039642,-80.254435,i
310M200US38860,38860,"Portland-South Portland, ME Metro Area",103557,246600,2,15.7,0.5,86314,1610,3332,43.661471,-70.2553259,i
310M200US48620,48620,"Wichita, KS Metro Area",97444,138900,3.3,9.1,0.4,77133,1239,1842,37.6871761,-97.330053,i
310M200US44140,44140,"Springfield, MA Metro Area",97058,217200,1.8,15.2,0.6,85671,1563,3501,42.1014831,-72.589811,i
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",96831,179700,3.3,16.9,0.4,84277,1375,2612,40.2731911,-76.8867008,i
310M200US45780,45780,"Toledo, OH Metro Area",95010,131700,3.2,13.9,0.4,77732,1205,2389,41.6639383,-83.555212,i
310M200US21340,21340,"El Paso, TX Metro Area",93550,127900,1.1,4.2,0.2,63257,1125,2945,31.7775757,-106.4424559,i
