GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC10,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC28,HC01_EST_VC48,HC01_EST_VC78,geo_id,geo_id2,msa_name,median_contract_rent,margin_error,city_state,latitude,longitude
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2361371,417500,2.4,13.9,0.7,114527,2604,7865,310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",1158,5,"New York, NY",40.7127837,-74.0059413
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1502035,229800,3.3,13.5,0.6,94840,1770,5242,310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",872,6,"Chicago, IL",41.8781136,-87.6297982
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",1495615,548800,3.5,12.4,0.9,102441,2331,4216,310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",1208,6,"Los Angeles, CA",34.0522342,-118.2436849
310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1069934,403600,3.9,14.3,0.8,126353,2243,3944,310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1398,11,"Washington, DC",38.9071923,-77.0368707
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1005651,251100,2.8,14.4,0.6,96529,1809,4292,310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",870,6,"Philadelphia, PA",39.9525839,-75.1652215
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",978465,187100,2.7,3.8,0.2,94497,1585,3851,310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",784,7,"Dallas, TX",32.7766642,-96.7969879
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",919180,191600,4.6,9.7,0.5,84326,1411,1844,310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",794,7,"Atlanta, GA",33.7489954,-84.3879824
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",832432,181700,2.7,3.9,0.1,98468,1580,3854,310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",777,8,"Houston, TX",29.7604267,-95.3698028
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",776000,395800,3.3,16.3,0.5,116900,2249,4973,310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1122,11,"Boston, MA",42.3600825,-71.0588801
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",726708,250600,2.7,11.3,0.8,76997,1676,2717,310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",1011,10,"Miami, FL",25.7616798,-80.1917902
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",699075,169700,3,12.5,0.4,83331,1355,2838,310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",692,8,"Detroit, MI",42.331427,-83.0457538
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",671476,235400,5.1,14,0.7,98004,1601,2783,310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",857,9,"Minneapolis, MN",44.977753,-93.2650108
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",665975,232200,3.2,9.2,0.6,80191,1388,1468,310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",810,9,"Phoenix, AZ",33.4483771,-112.0740373
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",656117,730300,3.4,16.7,0.8,132065,2720,5871,310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",1445,15,"San Francisco, CA",37.7749295,-122.4194155
310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",632110,364900,3.6,13.9,0.6,106089,1977,3657,310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",1046,13,"Seattle, WA",47.6062095,-122.3320708
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",586210,319300,4.5,8,0.6,80506,1719,2867,310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",1007,13,"Riverside, CA",33.9533487,-117.3961564
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",515339,317700,5.2,11.7,0.7,96965,1647,1865,310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",959,11,"Denver, CO",39.7392358,-104.990251
310M200US41180,41180,"St. Louis, MO-IL Metro Area",500607,171700,3,10.4,0.4,83129,1337,2308,310M200US41180,41180,"St. Louis, MO-IL Metro Area",638,9,"St. Louis, MO",38.6270025,-90.1994042
